Nama File =file1.dat
Time Sampling =0.0005
439  0.2195 2.640000
440  0.2200 2.660000
441  0.2205 2.680000
442  0.2210 2.700000
443  0.2215 2.720000
444  0.2220 2.760000
445  0.2225 2.800000
446  0.2230 2.800000
447  0.2235 2.840000
448  0.2240 2.860000
449  0.2245 2.880000
450  0.2250 2.920000
451  0.2255 2.940000
452  0.2260 2.960000
453  0.2265 3.000000
454  0.2270 3.020000
455  0.2275 3.040000
456  0.2280 3.060000
457  0.2285 3.080000
458  0.2290 3.120000
459  0.2295 3.140000
460  0.2300 3.160000
461  0.2305 3.180000
462  0.2310 3.200000
463  0.2315 3.240000
464  0.2320 3.240000
465  0.2325 3.280000
466  0.2330 3.300000
467  0.2335 3.300000
468  0.2340 3.340000
469  0.2345 3.340000
470  0.2350 3.380000
471  0.2355 3.380000
472  0.2360 3.400000
473  0.2365 3.420000
474  0.2370 3.440000
475  0.2375 3.480000
476  0.2380 3.480000
477  0.2385 3.480000
478  0.2390 3.500000
479  0.2395 3.500000
480  0.2400 3.540000
481  0.2405 3.560000
482  0.2410 3.580000
483  0.2415 3.600000
484  0.2420 3.600000
485  0.2425 3.620000
486  0.2430 3.640000
487  0.2435 3.640000
488  0.2440 3.660000
489  0.2445 3.660000
490  0.2450 3.680000
491  0.2455 3.700000
492  0.2460 3.700000
493  0.2465 3.720000
494  0.2470 3.720000
495  0.2475 3.740000
496  0.2480 3.760000
497  0.2485 3.760000
498  0.2490 3.780000
499  0.2495 3.780000
500  0.2500 3.800000
501  0.2505 3.800000
502  0.2510 3.800000
503  0.2515 3.800000
504  0.2520 3.820000
505  0.2525 3.820000
506  0.2530 3.820000
507  0.2535 3.820000
508  0.2540 3.820000
509  0.2545 3.840000
510  0.2550 3.840000
511  0.2555 3.840000
512  0.2560 3.820000
513  0.2565 0.300000
514  0.2570 3.860000
515  0.2575 3.860000
516  0.2580 3.860000
517  0.2585 3.840000
518  0.2590 3.860000
519  0.2595 3.840000
520  0.2600 3.820000
521  0.2605 3.820000
522  0.2610 3.840000
523  0.2615 3.820000
524  0.2620 3.820000
525  0.2625 3.820000
526  0.2630 3.820000
527  0.2635 3.820000
528  0.2640 3.800000
529  0.2645 3.800000
530  0.2650 3.800000
531  0.2655 3.780000
532  0.2660 3.780000
533  0.2665 3.740000
534  0.2670 3.760000
535  0.2675 3.760000
536  0.2680 3.760000
537  0.2685 3.760000
538  0.2690 3.720000
539  0.2695 3.720000
540  0.2700 3.740000
541  0.2705 3.700000
542  0.2710 3.720000
543  0.2715 3.680000
544  0.2720 3.660000
545  0.2725 3.660000
546  0.2730 3.640000
547  0.2735 3.620000
548  0.2740 3.620000
549  0.2745 3.600000
550  0.2750 3.580000
551  0.2755 3.560000
552  0.2760 3.540000
553  0.2765 3.520000
554  0.2770 3.500000
555  0.2775 3.500000
556  0.2780 3.460000
557  0.2785 3.480000
558  0.2790 3.440000
559  0.2795 3.420000
560  0.2800 3.400000
561  0.2805 3.380000
562  0.2810 3.360000
563  0.2815 3.340000
564  0.2820 3.320000
565  0.2825 3.300000
566  0.2830 3.280000
567  0.2835 3.260000
568  0.2840 3.260000
569  0.2845 3.220000
570  0.2850 3.180000
571  0.2855 3.180000
572  0.2860 3.160000
573  0.2865 3.120000
574  0.2870 3.100000
575  0.2875 3.080000
576  0.2880 3.060000
577  0.2885 3.040000
578  0.2890 3.000000
579  0.2895 2.980000
580  0.2900 2.960000
581  0.2905 2.940000
582  0.2910 2.900000
583  0.2915 2.880000
584  0.2920 2.860000
585  0.2925 2.840000
586  0.2930 2.800000
587  0.2935 2.760000
588  0.2940 2.760000
589  0.2945 2.720000
590  0.2950 2.700000
591  0.2955 2.660000
592  0.2960 2.620000
593  0.2965 2.620000
594  0.2970 2.580000
595  0.2975 2.540000
596  0.2980 2.540000
597  0.2985 2.500000
598  0.2990 2.480000
599  0.2995 2.460000
600  0.3000 2.420000
601  0.3005 2.400000
602  0.3010 2.360000
603  0.3015 2.320000
604  0.3020 2.300000
605  0.3025 2.280000
606  0.3030 2.260000
607  0.3035 2.220000
608  0.3040 2.200000
609  0.3045 2.160000
610  0.3050 2.120000
611  0.3055 2.100000
612  0.3060 2.060000
613  0.3065 2.020000
614  0.3070 2.020000
615  0.3075 1.980000
616  0.3080 1.960000
617  0.3085 1.920000
618  0.3090 1.880000
619  0.3095 1.860000
620  0.3100 1.820000
621  0.3105 1.820000
622  0.3110 1.780000
623  0.3115 1.760000
624  0.3120 1.740000
625  0.3125 1.700000
626  0.3130 1.660000
627  0.3135 1.640000
628  0.3140 1.620000
629  0.3145 1.580000
630  0.3150 1.520000
631  0.3155 1.520000
632  0.3160 1.500000
633  0.3165 1.460000
634  0.3170 1.460000
635  0.3175 1.400000
636  0.3180 1.400000
637  0.3185 1.360000
638  0.3190 1.340000
639  0.3195 1.320000
640  0.3200 1.280000
641  0.3205 1.260000
642  0.3210 1.240000
643  0.3215 1.200000
644  0.3220 1.180000
645  0.3225 1.160000
646  0.3230 1.120000
647  0.3235 1.100000
648  0.3240 1.080000
649  0.3245 1.040000
650  0.3250 1.000000
651  0.3255 1.000000
652  0.3260 0.960000
653  0.3265 0.940000
654  0.3270 0.920000
655  0.3275 0.900000
656  0.3280 0.880000
657  0.3285 0.880000
658  0.3290 0.840000
659  0.3295 0.820000
660  0.3300 0.800000
661  0.3305 0.800000
662  0.3310 0.760000
663  0.3315 0.740000
664  0.3320 0.720000
665  0.3325 0.700000
666  0.3330 0.680000
667  0.3335 0.680000
668  0.3340 0.640000
669  0.3345 0.600000
670  0.3350 0.600000
671  0.3355 0.580000
672  0.3360 0.560000
673  0.3365 0.540000
674  0.3370 0.540000
675  0.3375 0.540000
676  0.3380 0.500000
677  0.3385 0.500000
678  0.3390 0.480000
679  0.3395 0.460000
680  0.3400 0.460000
681  0.3405 0.440000
682  0.3410 0.440000
683  0.3415 0.420000
684  0.3420 0.400000
685  0.3425 0.400000
686  0.3430 0.380000
687  0.3435 0.360000
688  0.3440 0.340000
689  0.3445 0.320000
690  0.3450 0.340000
691  0.3455 0.320000
692  0.3460 0.300000
693  0.3465 0.300000
694  0.3470 0.300000
695  0.3475 0.300000
696  0.3480 0.300000
697  0.3485 0.300000
698  0.3490 0.300000
699  0.3495 0.300000
700  0.3500 0.280000
701  0.3505 0.280000
702  0.3510 0.260000
703  0.3515 0.260000
704  0.3520 0.260000
705  0.3525 0.260000
706  0.3530 0.240000
707  0.3535 0.240000
708  0.3540 0.240000
709  0.3545 0.220000
710  0.3550 0.240000
711  0.3555 0.240000
712  0.3560 0.220000
713  0.3565 0.260000
714  0.3570 0.240000
715  0.3575 0.240000
716  0.3580 0.280000
717  0.3585 0.260000
718  0.3590 0.280000
719  0.3595 0.280000
720  0.3600 0.300000
721  0.3605 0.300000
722  0.3610 0.300000
723  0.3615 0.320000
724  0.3620 0.320000
725  0.3625 0.320000
726  0.3630 0.320000
727  0.3635 0.300000
728  0.3640 0.340000
729  0.3645 0.340000
730  0.3650 0.360000
731  0.3655 0.360000
732  0.3660 0.380000
733  0.3665 0.400000
734  0.3670 0.420000
735  0.3675 0.420000
736  0.3680 0.440000
737  0.3685 0.460000
738  0.3690 0.480000
739  0.3695 0.480000
740  0.3700 0.500000
741  0.3705 0.520000
742  0.3710 0.520000
743  0.3715 0.560000
744  0.3720 0.560000
745  0.3725 0.560000
746  0.3730 0.600000
747  0.3735 0.580000
748  0.3740 0.600000
749  0.3745 0.600000
750  0.3750 0.640000
751  0.3755 0.660000
752  0.3760 0.680000
753  0.3765 0.700000
754  0.3770 0.720000
755  0.3775 0.740000
756  0.3780 0.780000
757  0.3785 0.800000
